id,name,artist,album,release_date,popularity,duration_ms,genres,album_art_url
3yzG1rkCOieELsPAPj6x8f,Ale Ale,A.R. Rahman,Boys,2003-06-28,0,385786,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b27306b5973bc76a7e2556e2616a
0jNfdNjKTIRephxTIHizt5,Vizhigalil Vizhigalil,Harish Raghavendra,Thiruvilayadal Arambam (Original Motion Picture Soundtrack),2006-12-01,37,286253,"tamil pop, kollywood, telugu pop, tollywood",https://i.scdn.co/image/ab67616d0000b273fb63bcf8cad545d7a92e8d04
2o5plMHeOlz9O1yvQM7Pwf,Verenna Ivan Yaro,Unnikrishnan,Minnale (Original Motion Picture Soundtrack),1962-01-02,0,324938,"tamil pop, kollywood, telugu pop, tollywood",https://i.scdn.co/image/ab67616d0000b273b8504efae4eb2430d996ecdb
4suBfHuR3MS4d0Wc1nWz0s,En Anbe,Harris Jayaraj,Sathyam,2008-07-20,0,367001,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b27334b0c6a4d90b6347e2687c1a
3BWDyIgqYJtK1DH7cpXzdF,Venmathiye,Tippu,Minnale (Original Motion Picture Soundtrack),1962-01-02,0,326960,"tamil dance, kannada pop, tamil pop, kollywood, telugu pop, tollywood, sandalwood",https://i.scdn.co/image/ab67616d0000b273b8504efae4eb2430d996ecdb
1n5gnI3Wue9WBpYFOIQNh1,Mundhinam,Harris Jayaraj,Vaaranam Aayiram (Original Motion Picture Soundtrack),2008-10-08,65,341386,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273812bfb4e32feb448e527e8b1
13wIQbwSuQ4YFvDvtQgSVc,Vaarayo Vaarayo,Harris Jayaraj,Aadhavan (Original Motion Picture Soundtrack),2009-08-09,64,316680,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273555862c7f059ba85617a68ee
1wIfq9Zul77qAtokyLTlXr,Ava Enna,Harris Jayaraj,Vaaranam Aayiram (Original Motion Picture Soundtrack),2008-10-08,64,318493,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273812bfb4e32feb448e527e8b1
2WO5nzB7QtKn9ZRc9Jkalt,Annul Maelae,Harris Jayaraj,Vaaranam Aayiram (Original Motion Picture Soundtrack),2008-10-08,64,322506,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273812bfb4e32feb448e527e8b1
0ceIl3lqBkRnS1K7WQ2C8Q,Maro Maro,Tippu,Bunny,2005-03-26,37,307591,"tamil dance, kannada pop, tamil pop, kollywood, telugu pop, tollywood, sandalwood",https://i.scdn.co/image/ab67616d0000b2739e2f2fd01a48d0d59f019063
646diZuMDgdX1ffsnCHeP1,Sarigame,Lucky Ali,Boys,2003-07-29,37,368274,"desi pop, bollywood, hindi indie, indian indie, hindi pop",https://i.scdn.co/image/ab67616d0000b273cec3a015f7b46aba44effb89
3lMCCe4V2NYP5SBjnGv9aQ,Dating,A.R. Rahman,Boys,2003-06-28,0,304026,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b27306b5973bc76a7e2556e2616a
